,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Scarborough,43.806686299999996,-79.19435340000001,Zezafoun Syrian Cousine,43.702667,-79.39712,Restaurant
1,Scarborough,43.806686299999996,-79.19435340000001,The Keg Steakhouse & Bar,43.70546405087482,-79.39808535059794,Steakhouse
2,Scarborough,43.806686299999996,-79.19435340000001,Starbucks,43.70694,-79.396908,Coffee Shop
3,Scarborough,43.806686299999996,-79.19435340000001,Yonge Eglinton Square,43.70686372150796,-79.39875096488025,Plaza
4,Scarborough,43.806686299999996,-79.19435340000001,Five Doors North,43.70223554183669,-79.39752587511825,Italian Restaurant
5,Scarborough,43.806686299999996,-79.19435340000001,Loblaws,43.707412308637686,-79.39490920330728,Supermarket
6,Scarborough,43.806686299999996,-79.19435340000001,Balsamico,43.70150469426698,-79.3971619446229,Italian Restaurant
7,Scarborough,43.806686299999996,-79.19435340000001,Little Sister,43.70155150459908,-79.39716269656391,Indonesian Restaurant
8,Scarborough,43.806686299999996,-79.19435340000001,Noorden Food x Bar,43.702814301684576,-79.3976454868861,Restaurant
9,Scarborough,43.806686299999996,-79.19435340000001,Fresh,43.707324410453595,-79.39564918411965,Vegetarian / Vegan Restaurant
10,Scarborough,43.806686299999996,-79.19435340000001,Indigo,43.707749793230676,-79.39856484729582,Bookstore
11,Scarborough,43.806686299999996,-79.19435340000001,BMV Books,43.7074500015253,-79.39845675970373,Bookstore
12,Scarborough,43.806686299999996,-79.19435340000001,Jaipur Grille,43.70187552383629,-79.39743590899295,Indian Restaurant
13,Scarborough,43.806686299999996,-79.19435340000001,Aroma Espresso Bar,43.70694387159571,-79.39841321891859,Coffee Shop
14,Scarborough,43.806686299999996,-79.19435340000001,Yoga Tree Midtown,43.70764167668336,-79.3974716381371,Yoga Studio
15,Scarborough,43.806686299999996,-79.19435340000001,Starbucks,43.70551006547513,-79.39803158153217,Coffee Shop
16,Scarborough,43.806686299999996,-79.19435340000001,Coquine Restaurant,43.70262346819862,-79.39742931913001,French Restaurant
17,Scarborough,43.806686299999996,-79.19435340000001,Prohibition Gastrohouse,43.70709833066808,-79.39700879978479,Gastropub
18,Scarborough,43.806686299999996,-79.19435340000001,Boar Sandwiches,43.70115480524192,-79.3967198293826,Sandwich Place
